Date,Price,Open,High,Low,Vol,Change %
"Jan 14, 2025",88.67,88.67,88.67,88.67,0.02K,-2.04%
"Jan 13, 2025",90.52,90.52,90.52,90.52,0.01K,+3.26%
"Jan 10, 2025",87.66,85.65,88.1,85.65,0.03K,+1.17%
"Jan 09, 2025",86.65,85.35,85.35,85.35,0.01K,+1.33%
"Jan 08, 2025",85.51,87.2,87.2,87.2,0.01K,-4.03%
"Jan 07, 2025",89.1,88.25,88.25,88.25,0.01K,+0.26%
"Jan 06, 2025",88.87,89.75,89.75,89.35,0.04K,-1.62%
"Jan 03, 2025",90.33,89,90.2,89,0.01K,+0.96%
"Jan 02, 2025",89.47,89.47,89.47,89.47,,+3.89%
"Dec 30, 2024",86.12,86.12,86.12,86.12,0.01K,-10.07%
"Dec 27, 2024",95.76,95.76,95.76,95.76,0.02K,+2.87%
"Dec 23, 2024",93.09,93.09,93.09,93.09,0.00K,+3.78%
"Dec 20, 2024",89.7,89.25,89.25,89.25,0.02K,+0.58%
"Dec 19, 2024",89.18,89.05,90.5,89.05,0.06K,+5.28%
"Dec 18, 2024",84.71,84.6,84.6,84.6,0.05K,-1.68%
"Dec 17, 2024",86.16,86.5,86.5,86.5,0.01K,+2.66%
"Dec 16, 2024",83.93,83.1,83.1,83,0.03K,-2.62%
"Dec 13, 2024",86.19,87.5,87.5,86.15,0.03K,-2.32%
"Dec 12, 2024",88.24,88.45,88.45,88.1,0.02K,-3.59%
"Dec 11, 2024",91.53,91.4,91.5,91.4,0.00K,-0.53%
"Dec 10, 2024",92.02,91.8,92,91.8,0.01K,+1.89%
"Dec 09, 2024",90.31,90.5,90.5,90.5,0.02K,-3.00%
"Dec 06, 2024",93.1,92.75,92.75,92.25,0.09K,+0.14%
"Dec 05, 2024",92.97,92.97,92.97,92.97,0.01K,-1.10%
"Dec 04, 2024",94,94.25,94.25,94.25,0.02K,-2.16%
"Dec 03, 2024",96.08,96.8,96.8,96.75,0.07K,-0.95%
"Dec 02, 2024",97,96.94,96.94,96.94,0.05K,+0.96%
"Nov 29, 2024",96.08,96.08,96.08,96.08,0.04K,+1.60%
"Nov 28, 2024",94.57,94.75,94.75,94.75,0.07K,-1.33%
"Nov 27, 2024",95.84,95.55,95.85,95.5,0.07K,-1.54%
"Nov 26, 2024",97.34,97.34,97.34,97.34,0.01K,-1.62%
"Nov 25, 2024",98.94,99.5,100.75,98.95,0.09K,+1.66%
"Nov 22, 2024",97.32,100,100.4,97.25,0.15K,-2.92%
"Nov 21, 2024",100.25,99.5,101.25,99.5,0.02K,+3.64%
"Nov 20, 2024",96.73,94.85,97.35,94.85,0.02K,+2.04%
"Nov 19, 2024",94.8,97.5,97.5,94.9,0.05K,-1.56%
"Nov 18, 2024",96.3,94.5,96.5,94.2,0.02K,+1.92%
"Nov 15, 2024",94.49,94.49,94.49,94.49,0.01K,+1.08%
"Nov 14, 2024",93.48,92.3,92.3,92.25,0.02K,+3.95%
"Nov 13, 2024",89.93,89.3,89.75,89.3,0.02K,-1.97%
"Nov 12, 2024",91.74,91.74,91.74,91.74,0.02K,+0.97%
"Nov 11, 2024",90.86,90.86,90.86,90.86,0.01K,+1.80%
"Nov 08, 2024",89.25,89.85,89.85,89.75,0.01K,+1.52%
"Nov 07, 2024",87.91,86,86.5,86,0.02K,+3.88%
"Nov 06, 2024",84.63,83.2,84.9,83.2,0.01K,-0.80%
"Nov 05, 2024",85.31,85.5,85.5,85.5,0.01K,+0.06%
"Nov 04, 2024",85.26,84.5,84.5,84.5,0.02K,+2.69%
"Nov 01, 2024",83.03,83.03,83.03,83.03,0.02K,-3.19%
"Oct 31, 2024",85.77,85.25,85.25,85.25,0.01K,-0.94%
"Oct 30, 2024",86.58,87.75,87.75,87.75,0.01K,-3.02%
"Oct 29, 2024",89.28,88.5,89.75,88.5,0.07K,+0.56%
"Oct 28, 2024",88.78,88.78,88.78,88.78,0.03K,-1.85%
"Oct 25, 2024",90.45,90.45,90.45,90.45,0.02K,+1.28%
"Oct 24, 2024",89.31,89.31,89.31,89.31,0.01K,+1.93%
"Oct 23, 2024",87.62,87.62,87.62,87.62,0.01K,+2.55%
"Oct 22, 2024",85.44,85.44,85.44,85.44,0.01K,+0.90%
"Oct 21, 2024",84.68,84.7,84.7,84.7,0.01K,0.00%
"Oct 18, 2024",84.68,84.68,84.68,84.68,0.02K,-1.16%
"Oct 17, 2024",85.67,85.67,85.67,85.67,,+0.65%
"Oct 16, 2024",85.12,87.5,87.5,86.55,0.04K,-2.70%
"Oct 15, 2024",87.48,87.48,87.48,87.48,0.01K,-1.77%
"Oct 14, 2024",89.06,89.06,89.06,89.06,0.02K,+2.19%
"Oct 11, 2024",87.15,87.75,87.75,87.15,0.02K,-0.03%
"Oct 10, 2024",87.18,87.18,87.18,87.18,0.01K,+3.96%
"Oct 09, 2024",83.86,83.8,83.9,83.6,0.01K,+0.19%
"Oct 08, 2024",83.7,84.8,84.8,83.9,0.01K,-1.86%
"Oct 07, 2024",85.29,84.95,85,84.25,0.02K,-0.83%
"Oct 04, 2024",86,84.05,86,84.05,0.01K,+1.08%
"Oct 03, 2024",85.08,84.7,85,84.7,0.03K,+1.18%
"Oct 02, 2024",84.09,84.05,84.5,84.05,0.02K,-0.90%
"Oct 01, 2024",84.85,84.05,84.05,84.05,0.00K,-0.96%
"Sep 30, 2024",85.67,86,86.05,85.15,0.02K,+0.04%
"Sep 27, 2024",85.64,85,85.65,85,0.02K,+0.35%
"Sep 26, 2024",85.34,83.25,84.95,83.25,0.01K,+1.19%
"Sep 25, 2024",84.34,84.34,84.34,84.34,0.01K,+3.32%
"Sep 24, 2024",81.63,81.63,81.63,81.63,0.01K,-0.95%
"Sep 23, 2024",82.41,82.41,82.41,82.41,0.02K,+1.10%
"Sep 20, 2024",81.51,81.5,81.5,81.5,0.03K,+1.84%
"Sep 19, 2024",80.04,84.25,84.25,84.25,0.03K,-4.44%
"Sep 18, 2024",83.76,83.15,83.25,83.15,0.03K,-0.38%
"Sep 17, 2024",84.08,84.08,84.08,84.08,0.01K,+3.67%
"Sep 16, 2024",81.1,81.85,81.85,81.6,0.02K,-3.05%
"Sep 13, 2024",83.65,83.55,83.55,83.55,0.05K,-0.16%
"Sep 12, 2024",83.78,84.25,84.3,84,0.05K,-2.32%
"Sep 11, 2024",85.77,83.75,84.25,83.75,0.03K,+1.62%
"Sep 10, 2024",84.4,86.9,86.9,84.57,0.04K,-3.50%
"Sep 09, 2024",87.46,86.9,87.1,86.9,0.03K,+0.52%
"Sep 06, 2024",87.01,88.25,88.25,87.4,0.03K,+0.31%
"Sep 05, 2024",86.74,86.74,86.74,86.74,0.02K,+0.39%
"Sep 04, 2024",86.4,87.7,87.7,86.25,0.02K,-2.52%
"Sep 03, 2024",88.63,88.63,88.63,88.63,0.02K,-3.59%
"Sep 02, 2024",91.93,92.3,92.35,92,0.01K,-1.09%
"Aug 30, 2024",92.94,93.65,93.65,93.65,0.03K,+0.09%
"Aug 29, 2024",92.86,92.35,92.35,92.25,0.03K,-0.95%
"Aug 28, 2024",93.75,93.25,93.25,93.25,0.03K,+0.01%
"Aug 27, 2024",93.74,93.6,93.6,93.6,0.03K,+1.46%
"Aug 26, 2024",92.39,92.39,92.39,92.39,0.01K,+0.54%
"Aug 23, 2024",91.89,91.89,91.89,91.89,0.00K,-0.24%
"Aug 22, 2024",92.11,92.11,92.11,92.11,0.03K,+0.28%
"Aug 21, 2024",91.85,91.85,91.85,91.85,0.01K,-1.87%
"Aug 20, 2024",93.6,93.6,93.6,93.6,0.01K,-2.63%
"Aug 19, 2024",96.13,96.13,96.13,96.13,0.02K,-0.39%
"Aug 16, 2024",96.51,96.51,96.51,96.51,0.02K,+0.69%
"Aug 15, 2024",95.85,95.85,95.85,95.85,0.01K,+0.89%
"Aug 14, 2024",95,95.8,95.8,95.8,0.01K,+0.16%
"Aug 13, 2024",94.85,94.85,94.85,94.85,0.04K,-0.08%
"Aug 12, 2024",94.93,97,97,96.2,0.03K,+0.44%
"Aug 09, 2024",94.51,94.51,94.51,94.51,0.01K,+0.65%
"Aug 08, 2024",93.9,93.9,93.9,93.9,0.04K,+1.74%
"Aug 07, 2024",92.29,90,90,90,0.01K,+2.08%
"Aug 06, 2024",90.41,90.41,90.41,90.41,0.01K,+1.08%
"Aug 05, 2024",89.44,89.25,89.4,89.25,0.01K,-3.14%
"Aug 02, 2024",92.34,93,93,92.6,0.02K,-0.26%
"Aug 01, 2024",92.58,90.75,93.5,90.75,0.04K,+1.88%
"Jul 31, 2024",90.87,90,90.95,90,0.02K,+1.80%
"Jul 30, 2024",89.26,89,89.3,89,0.01K,+0.25%
"Jul 29, 2024",89.04,88.2,88.2,88.2,0.02K,+1.99%
"Jul 26, 2024",87.3,87.3,87.3,87.3,0.01K,+2.05%
"Jul 25, 2024",85.55,85.55,85.55,85.55,0.01K,-1.66%
"Jul 24, 2024",86.99,86.99,86.99,86.99,0.01K,+3.77%
"Jul 23, 2024",83.83,83.83,83.83,83.83,0.00K,+0.52%
"Jul 22, 2024",83.4,83.8,83.8,83.35,0.01K,-1.99%
"Jul 19, 2024",85.09,85.35,85.35,85.35,0.00K,+0.28%
